Date,open,high,low,close
2020-04-20,7130.7000,7227.1100,6748.7200,6838.1900
2020-04-21,6837.2200,6959.0000,6776.0000,6853.6800
2020-04-22,6853.6700,7167.3700,6826.0000,7136.8400
2020-04-23,7136.8100,7775.0000,7031.1400,7488.8300
2020-04-24,7491.5000,7612.2400,7390.0000,7514.6400
2020-04-27,7706.4000,7810.9900,7635.6900,7789.7700
2020-04-28,7789.7700,7794.7400,7672.0000,7755.0100
2020-04-29,7757.1800,8988.0000,7720.0000,8793.7500
2020-04-30,8794.9900,9478.6600,8407.0000,8624.2800
2020-05-06,9028.7800,9418.0000,8922.1300,9155.7900
2020-05-07,9155.7900,10079.0000,9028.8900,10004.7700
2020-05-08,10000.3700,10049.0000,9730.0000,9810.0000
2020-05-11,8729.8600,9182.6600,8185.0000,8572.4000
2020-05-12,8572.4000,8982.9000,8534.8500,8821.4200
2020-05-13,8821.4100,9420.1800,8803.9700,9321.2600
2020-05-14,9320.8500,9943.9300,9257.1500,9795.3400
2020-05-15,9795.3400,9849.0000,9120.0000,9312.1000
2020-05-18,9677.4500,9957.2500,9436.9700,9728.5200
2020-05-19,9728.5200,9898.0000,9463.2200,9783.7600
2020-05-20,9783.5700,9836.9900,9294.5400,9509.4100
2020-05-21,9509.4000,9568.0000,8800.0000,9061.9600
2020-05-22,9059.3200,9267.3400,8923.5000,9168.8400
2020-05-25,8715.6900,8977.0000,8632.9300,8899.3100
2020-05-26,8900.0000,9016.9900,8694.2300,8844.4200
2020-05-27,8844.4100,9230.0000,8811.4600,9208.5300
2020-05-28,9208.5300,9625.0000,9112.0000,9580.1900
2020-05-29,9580.0100,9609.0200,9330.0100,9423.8400
2020-06-01,9445.8300,10428.0000,9417.4200,10208.9600
2020-06-02,10208.9600,10237.6000,9270.0000,9522.4600
2020-06-03,9521.5300,9695.0000,9385.2200,9668.0700
2020-06-04,9668.0600,9888.0000,9450.0000,9788.0300
2020-06-05,9791.9600,9855.0000,9585.4400,9613.2100
2020-06-08,9750.1200,9815.0000,9632.7900,9781.5100
2020-06-09,9781.5100,9886.0000,9567.3300,9779.4100
2020-06-10,9779.7000,10018.6700,9690.0000,9894.0400
2020-06-11,9894.3500,9973.2500,9050.0000,9268.1600
2020-06-12,9268.1600,9552.8700,9227.0000,9464.1700
2020-06-15,9328.6300,9499.0000,8895.0100,9432.5300
2020-06-16,9432.5700,9592.0400,9381.0000,9526.2500
2020-06-17,9526.2500,9558.4800,9227.0300,9457.5100
2020-06-18,9457.5100,9482.6600,9267.1800,9376.1400
2020-06-19,9376.1400,9430.0000,9229.0000,9301.9100
2020-06-22,9286.1400,9792.0000,9267.5800,9690.7400
2020-06-23,9690.6700,9724.5300,9572.2200,9623.5600
2020-06-24,9623.5600,9663.3800,9195.0000,9285.9100
2020-06-29,9113.2300,9236.7500,9014.0000,9184.4500
2020-06-30,9188.7900,9201.0000,9059.6000,9136.2000
2020-07-01,9135.9100,9297.2000,9088.0000,9239.9700
2020-07-02,9239.4100,9265.0000,8938.0000,9091.5300
2020-07-03,9091.9800,9126.1200,9036.7400,9063.8700
2020-07-06,9074.3700,9375.9000,9061.5900,9343.3100
2020-07-07,9343.3100,9379.3400,9201.5700,9253.9400
2020-07-08,9253.9400,9475.0000,9232.2000,9435.2800
2020-07-09,9435.2800,9446.6200,9154.7900,9236.9500
2020-07-10,9236.9500,9322.2300,9118.0000,9291.0500
2020-07-13,9303.3800,9339.6100,9193.5200,9236.9200
2020-07-14,9236.9100,9280.0000,9100.0000,9256.9400
2020-07-15,9256.9400,9273.9800,9154.0100,9190.1600
2020-07-16,9190.8000,9216.0200,9005.0000,9130.1100
2020-07-17,9130.9300,9182.9900,9054.9900,9154.2900
2020-07-20,9214.0100,9223.5100,9131.0000,9161.0500
2020-07-21,9161.0500,9438.0000,9157.0400,9394.1400
2020-07-22,9394.1400,9567.7700,9277.0000,9536.1800
2020-07-23,9536.2000,9686.0000,9450.0400,9613.2400
2020-07-24,9613.2400,9645.5500,9475.7000,9551.2100
2020-07-27,9941.0000,11420.0000,9935.0000,11048.9100
2020-07-28,11048.0500,11259.0000,10575.0000,10934.2300
2020-07-29,10934.2200,11350.0000,10843.4700,11110.1200
2020-07-30,11108.1600,11188.6500,10811.0000,11115.9500
2020-07-31,11115.9900,11460.0000,10975.0000,11351.6200
2020-08-03,11067.4600,11486.6000,10911.7400,11233.1300
2020-08-04,11233.1600,11417.1100,11006.1600,11197.0400
2020-08-05,11197.0500,11798.8700,11073.7000,11756.7500
2020-08-06,11756.7500,11916.6800,11580.1900,11773.8900
